Sample.label,Transect,Trans_dist(km),Effort_length (km),Region.label,Study.Area,Area_km2,Species,Counts,Perp_dist,Latitudes,Longitudes
1,2,0.1,3,Woodland,Makuyuni,261,GR,2,45,178801,9612410
1,2,0.52,3,Woodland,Makuyuni,261,ZB,1,20,178798,9611983
1,2,0.81,3,Woodland,Makuyuni,261,TG,3,32,179952,9612799
1,2,1.21,3,Woodland,Makuyuni,261,EL,4,210,180482,9612801
2,1,0.3,3,Woodland,Makuyuni,261,EL,1,125,176707,9610562
2,1,0.465,3,Woodland,Makuyuni,261,GG,7,65,176847,9610459
2,1,0.983,3,Woodland,Makuyuni,261,TG,5,43,177274,9610180
2,1,1.021,3,Woodland,Makuyuni,261,ZB,5,46,177486,9610097
2,1,1.05,3,Woodland,Makuyuni,261,GR,3,35,177837,9610143
2,1,1.086,3,Woodland,Makuyuni,261,GR,2,42,178132,9609953
2,1,1.086,3,Woodland,Makuyuni,261,JK,1,25,178132,9609953
3,3,0.916,3,Woodland,Makuyuni,261,JK,1,35,183932,9610932
3,3,1.636,3,Woodland,Makuyuni,261,JK,1,47,183111,9610865
5,5,1.45,3,Semiarid,Makuyuni,261,DK,1,50,175835,9607892
5,5,2,3,Semiarid,Makuyuni,261,IM,1,100,171733,9595644
5,5,2,3,Semiarid,Makuyuni,261,ZB,4,30,171733,9595644
7,7,0.1,3,Woodland,Makuyuni,261,JK,1,100,185264,9607611
7,7,0.4,3,Woodland,Makuyuni,261,EL,1,200,185695,9607391
7,7,0.778,3,Woodland,Makuyuni,261,ZB,10,88,186035,9607532
7,7,0.88,3,Woodland,Makuyuni,261,EL,10,140,186122,9607643
7,7,1.62,3,Woodland,Makuyuni,261,EL,1,210,186822,9607905
7,7,1.79,3,Woodland,Makuyuni,261,EL,1,310,186940,9607960
7,7,3.003,3,Woodland,Makuyuni,261,EL,1,215,188194,9607682
8,8,1.25,3,Woodland,Makuyuni,261,HY,1,0,177570,9604691
9,9,1.25,3,Woodland,Makuyuni,261,TG,4,40,183645,9604367
9,9,1.36,3,Woodland,Makuyuni,261,EL,1,120,183650,9604455
9,9,1.34,3,Woodland,Makuyuni,261,EL,2,101,183824,9604379
9,9,1.36,3,Woodland,Makuyuni,261,GG,7,80,185445,9604380
9,9,1.36,3,Woodland,Makuyuni,261,GG,2,41,185445,9604380
10,10,0.015,3,Woodland,Makuyuni,261,TG,7,43,187422,9604449
10,10,0.12,3,Woodland,Makuyuni,261,EL,1,188,187487,9604471
10,10,0.51,3,Woodland,Makuyuni,261,HY,0,0,187903,9604598
10,10,0.812,3,Woodland,Makuyuni,261,TG,4,53,188198,9604729
10,10,10.21,3,Woodland,Makuyuni,261,ZB,6,42,189051,9604514
10,10,1.4,3,Woodland,Makuyuni,261,TG,5,32,189051,9604515
10,10,2.3,3,Woodland,Makuyuni,261,EL,2,103,190025,9604430
10,10,3.1,3,Woodland,Makuyuni,261,TG,6,30,190025,9604431
12,12,2.46,3,Shrubland,Makuyuni,261,GR,3,17,179907,9601711
12,12,2.46,3,Shrubland,Makuyuni,261,DK,1,103,179907,9601711
13,13,0.1,3,Woodland,Makuyuni,261,HY,1,0,185378,9601608
13,13,0.349,3,Woodland,Makuyuni,261,EL,7,110,186046,9601255
13,13,0.8,3,Woodland,Makuyuni,261,ZB,3,32,186409,9601032
13,13,1.22,3,Woodland,Makuyuni,261,ZB,5,65,186484,9601009
13,13,1.81,3,Woodland,Makuyuni,261,ZB,10,54,187004,9600878
13,13,2.4,3,Woodland,Makuyuni,261,ZB,8,45,187651,9600830
16,15,0.127,3,Woodland,Makuyuni,261,ZB,9,72,182258,9598756
16,15,0.618,3,Woodland,Makuyuni,261,EL,2,7,181792,9598507
16,15,0.994,3,Woodland,Makuyuni,261,EL,3,3,181437,9598387
16,15,1.6,3,Woodland,Makuyuni,261,EL,1,101,180526,9597880
16,15,1.962,3,Woodland,Makuyuni,261,EL,1,152,180341,9597838
16,15,2.2,3,Woodland,Makuyuni,261,EL,1,147,180255,9597995
16,15,2.31,3,Woodland,Makuyuni,261,EL,1,202,180213,9598039
17,20,0.1,3,Woodland,Makuyuni,261,EL,4,110,185080,9598680
17,20,0.717,3,Woodland,Makuyuni,261,GG,5,100,185708,9598602
17,20,0.739,3,Woodland,Makuyuni,261,IM,2,70,185726,9598577
